"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8345.N710_N508" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 29898 24863
"SLX.8345.N711_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 37809 17752
"SLX.8345.N711_N502" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 18647 19781
"SLX.8345.N711_N503" "HF" "ID2_7" "HF-CD41+Flk1+" "green" 28548 11782
"SLX.8345.N711_N504" "NP" "ID2_8" "NP-CD41+Flk1+" "red" 30855 17380
"SLX.8345.N711_N505" "NP" "ID2_9" "NP-CD41+Flk1+" "brown" 30761 22324
"SLX.8345.N711_N506" "NP" "ID2_9" "NP-CD41+Flk1+" "yellow" 37982 20494
"SLX.8345.N711_N507" "NP" "ID2_9" "NP-CD41+Flk1+" "brown" 46375 17890
"SLX.8345.N711_N508" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 33794 15659
"SLX.8345.N712_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 16038 11190
"SLX.8345.N712_N502" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 41065 13928
"SLX.8345.N712_N503" "NP" "ID2_8" "NP-CD41+Flk1+" "brown" 45405 20265
"SLX.8345.N712_N504" "NP" "ID2_8" "NP-CD41+Flk1+" "brown" 39614 14873
"SLX.8345.N712_N505" "NP" "ID2_8" "NP-CD41+Flk1+" "brown" 28784 16808
"SLX.8345.N712_N506" "NP" "ID2_9" "NP-CD41+Flk1+" "brown" 36768 20002
"SLX.8345.N712_N507" "NP" "ID2_9" "NP-CD41+Flk1+" "brown" 25592 23646
"SLX.8408.N701_N501" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N701_N502" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N701_N503" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N701_N504" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N701_N505" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N701_N506" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N701_N507" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N701_N508" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N702_N501" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N702_N502" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N702_N503" "HF" "HF5" "HF-Flk1+" "red" NA NA
